,modelBox,Compartment,MPform,sizeBin,thalf_deg_d,tfrag_gen_d,tbiof_growth_d,tbiof_degrade_d,alpha_heter
167,Utopia,Sediment_Ocean,heterMP,mp3,50000,NAN,NAN,NAN,NAN
168,Utopia,Sediment_Ocean,heterMP,mp2,50000,NAN,NAN,NAN,NAN
169,Utopia,Sediment_Ocean,heterMP,mp1,50000,NAN,NAN,NAN,NAN
170,Utopia,Sediment_Ocean,biofMP,mp5,25000,NAN,NAN,NAN,NAN
171,Utopia,Sediment_Ocean,biofMP,mp4,25000,NAN,NAN,NAN,NAN
172,Utopia,Sediment_Ocean,biofMP,mp3,25000,NAN,NAN,NAN,NAN
173,Utopia,Sediment_Ocean,biofMP,mp2,25000,NAN,NAN,NAN,NAN
174,Utopia,Sediment_Ocean,biofMP,mp1,25000,NAN,NAN,NAN,NAN
175,Utopia,Sediment_Ocean,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
176,Utopia,Sediment_Ocean,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
177,Utopia,Sediment_Ocean,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
178,Utopia,Sediment_Ocean,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
179,Utopia,Sediment_Ocean,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
180,Utopia,Sediment_Coast,freeMP,mp5,5000,NAN,NAN,NAN,NAN
181,Utopia,Sediment_Coast,freeMP,mp4,5000,NAN,NAN,NAN,NAN
182,Utopia,Sediment_Coast,freeMP,mp3,5000,NAN,NAN,NAN,NAN
183,Utopia,Sediment_Coast,freeMP,mp2,5000,NAN,NAN,NAN,NAN
184,Utopia,Sediment_Coast,freeMP,mp1,5000,NAN,NAN,NAN,NAN
185,Utopia,Sediment_Coast,heterMP,mp5,50000,NAN,NAN,NAN,NAN
186,Utopia,Sediment_Coast,heterMP,mp4,50000,NAN,NAN,NAN,NAN
187,Utopia,Sediment_Coast,heterMP,mp3,50000,NAN,NAN,NAN,NAN
188,Utopia,Sediment_Coast,heterMP,mp2,50000,NAN,NAN,NAN,NAN
189,Utopia,Sediment_Coast,heterMP,mp1,50000,NAN,NAN,NAN,NAN
190,Utopia,Sediment_Coast,biofMP,mp5,25000,NAN,NAN,NAN,NAN
191,Utopia,Sediment_Coast,biofMP,mp4,25000,NAN,NAN,NAN,NAN
192,Utopia,Sediment_Coast,biofMP,mp3,25000,NAN,NAN,NAN,NAN
193,Utopia,Sediment_Coast,biofMP,mp2,25000,NAN,NAN,NAN,NAN
194,Utopia,Sediment_Coast,biofMP,mp1,25000,NAN,NAN,NAN,NAN
195,Utopia,Sediment_Coast,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
196,Utopia,Sediment_Coast,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
197,Utopia,Sediment_Coast,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
198,Utopia,Sediment_Coast,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
199,Utopia,Sediment_Coast,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
200,Utopia,Urban_Soil_Surface,freeMP,mp5,5000,365,NAN,NAN,NAN
201,Utopia,Urban_Soil_Surface,freeMP,mp4,5000,NAN,NAN,NAN,NAN
202,Utopia,Urban_Soil_Surface,freeMP,mp3,5000,NAN,NAN,NAN,NAN
203,Utopia,Urban_Soil_Surface,freeMP,mp2,5000,NAN,NAN,NAN,NAN
204,Utopia,Urban_Soil_Surface,freeMP,mp1,5000,NAN,NAN,NAN,NAN
205,Utopia,Urban_Soil_Surface,heterMP,mp5,50000,NAN,NAN,NAN,NAN
206,Utopia,Urban_Soil_Surface,heterMP,mp4,50000,NAN,NAN,NAN,NAN
207,Utopia,Urban_Soil_Surface,heterMP,mp3,50000,NAN,NAN,NAN,NAN
208,Utopia,Urban_Soil_Surface,heterMP,mp2,50000,NAN,NAN,NAN,NAN
209,Utopia,Urban_Soil_Surface,heterMP,mp1,50000,NAN,NAN,NAN,NAN
210,Utopia,Urban_Soil_Surface,biofMP,mp5,25000,730,NAN,NAN,NAN
211,Utopia,Urban_Soil_Surface,biofMP,mp4,25000,NAN,NAN,NAN,NAN
212,Utopia,Urban_Soil_Surface,biofMP,mp3,25000,NAN,NAN,NAN,NAN
213,Utopia,Urban_Soil_Surface,biofMP,mp2,25000,NAN,NAN,NAN,NAN
214,Utopia,Urban_Soil_Surface,biofMP,mp1,25000,NAN,NAN,NAN,NAN
215,Utopia,Urban_Soil_Surface,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
216,Utopia,Urban_Soil_Surface,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
217,Utopia,Urban_Soil_Surface,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
218,Utopia,Urban_Soil_Surface,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
219,Utopia,Urban_Soil_Surface,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
220,Utopia,Urban_Soil,freeMP,mp5,5000,3650,NAN,NAN,NAN
221,Utopia,Urban_Soil,freeMP,mp4,5000,NAN,NAN,NAN,NAN
222,Utopia,Urban_Soil,freeMP,mp3,5000,NAN,NAN,NAN,NAN
223,Utopia,Urban_Soil,freeMP,mp2,5000,NAN,NAN,NAN,NAN
224,Utopia,Urban_Soil,freeMP,mp1,5000,NAN,NAN,NAN,NAN
225,Utopia,Urban_Soil,heterMP,mp5,50000,NAN,NAN,NAN,NAN
226,Utopia,Urban_Soil,heterMP,mp4,50000,NAN,NAN,NAN,NAN
227,Utopia,Urban_Soil,heterMP,mp3,50000,NAN,NAN,NAN,NAN
228,Utopia,Urban_Soil,heterMP,mp2,50000,NAN,NAN,NAN,NAN
229,Utopia,Urban_Soil,heterMP,mp1,50000,NAN,NAN,NAN,NAN
230,Utopia,Urban_Soil,biofMP,mp5,25000,NAN,NAN,NAN,NAN
231,Utopia,Urban_Soil,biofMP,mp4,25000,NAN,NAN,NAN,NAN
232,Utopia,Urban_Soil,biofMP,mp3,25000,NAN,NAN,NAN,NAN
233,Utopia,Urban_Soil,biofMP,mp2,25000,NAN,NAN,NAN,NAN
234,Utopia,Urban_Soil,biofMP,mp1,25000,NAN,NAN,NAN,NAN
235,Utopia,Urban_Soil,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
236,Utopia,Urban_Soil,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
237,Utopia,Urban_Soil,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
238,Utopia,Urban_Soil,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
239,Utopia,Urban_Soil,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
240,Utopia,Background_Soil_Surface,freeMP,mp5,5000,365,NAN,NAN,NAN
241,Utopia,Background_Soil_Surface,freeMP,mp4,5000,NAN,NAN,NAN,NAN
242,Utopia,Background_Soil_Surface,freeMP,mp3,5000,NAN,NAN,NAN,NAN
243,Utopia,Background_Soil_Surface,freeMP,mp2,5000,NAN,NAN,NAN,NAN
244,Utopia,Background_Soil_Surface,freeMP,mp1,5000,NAN,NAN,NAN,NAN
245,Utopia,Background_Soil_Surface,heterMP,mp5,50000,NAN,NAN,NAN,NAN
246,Utopia,Background_Soil_Surface,heterMP,mp4,50000,NAN,NAN,NAN,NAN
247,Utopia,Background_Soil_Surface,heterMP,mp3,50000,NAN,NAN,NAN,NAN
248,Utopia,Background_Soil_Surface,heterMP,mp2,50000,NAN,NAN,NAN,NAN
249,Utopia,Background_Soil_Surface,heterMP,mp1,50000,NAN,NAN,NAN,NAN
250,Utopia,Background_Soil_Surface,biofMP,mp5,25000,730,NAN,NAN,NAN
251,Utopia,Background_Soil_Surface,biofMP,mp4,25000,NAN,NAN,NAN,NAN
252,Utopia,Background_Soil_Surface,biofMP,mp3,25000,NAN,NAN,NAN,NAN
253,Utopia,Background_Soil_Surface,biofMP,mp2,25000,NAN,NAN,NAN,NAN
254,Utopia,Background_Soil_Surface,biofMP,mp1,25000,NAN,NAN,NAN,NAN
255,Utopia,Background_Soil_Surface,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
256,Utopia,Background_Soil_Surface,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
257,Utopia,Background_Soil_Surface,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
258,Utopia,Background_Soil_Surface,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
259,Utopia,Background_Soil_Surface,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
260,Utopia,Background_Soil,freeMP,mp5,5000,3650,NAN,NAN,NAN
261,Utopia,Background_Soil,freeMP,mp4,5000,NAN,NAN,NAN,NAN
262,Utopia,Background_Soil,freeMP,mp3,5000,NAN,NAN,NAN,NAN
263,Utopia,Background_Soil,freeMP,mp2,5000,NAN,NAN,NAN,NAN
264,Utopia,Background_Soil,freeMP,mp1,5000,NAN,NAN,NAN,NAN
265,Utopia,Background_Soil,heterMP,mp5,50000,NAN,NAN,NAN,NAN
266,Utopia,Background_Soil,heterMP,mp4,50000,NAN,NAN,NAN,NAN
267,Utopia,Background_Soil,heterMP,mp3,50000,NAN,NAN,NAN,NAN
268,Utopia,Background_Soil,heterMP,mp2,50000,NAN,NAN,NAN,NAN
269,Utopia,Background_Soil,heterMP,mp1,50000,NAN,NAN,NAN,NAN
270,Utopia,Background_Soil,biofMP,mp5,25000,NAN,NAN,NAN,NAN
271,Utopia,Background_Soil,biofMP,mp4,25000,NAN,NAN,NAN,NAN
272,Utopia,Background_Soil,biofMP,mp3,25000,NAN,NAN,NAN,NAN
273,Utopia,Background_Soil,biofMP,mp2,25000,NAN,NAN,NAN,NAN
274,Utopia,Background_Soil,biofMP,mp1,25000,NAN,NAN,NAN,NAN
275,Utopia,Background_Soil,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
276,Utopia,Background_Soil,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
277,Utopia,Background_Soil,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
278,Utopia,Background_Soil,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
279,Utopia,Background_Soil,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
280,Utopia,Agricultural_Soil_Surface,freeMP,mp5,5000,365,NAN,NAN,NAN
281,Utopia,Agricultural_Soil_Surface,freeMP,mp4,5000,NAN,NAN,NAN,NAN
282,Utopia,Agricultural_Soil_Surface,freeMP,mp3,5000,NAN,NAN,NAN,NAN
283,Utopia,Agricultural_Soil_Surface,freeMP,mp2,5000,NAN,NAN,NAN,NAN
284,Utopia,Agricultural_Soil_Surface,freeMP,mp1,5000,NAN,NAN,NAN,NAN
285,Utopia,Agricultural_Soil_Surface,heterMP,mp5,50000,NAN,NAN,NAN,NAN
286,Utopia,Agricultural_Soil_Surface,heterMP,mp4,50000,NAN,NAN,NAN,NAN
287,Utopia,Agricultural_Soil_Surface,heterMP,mp3,50000,NAN,NAN,NAN,NAN
288,Utopia,Agricultural_Soil_Surface,heterMP,mp2,50000,NAN,NAN,NAN,NAN
289,Utopia,Agricultural_Soil_Surface,heterMP,mp1,50000,NAN,NAN,NAN,NAN
290,Utopia,Agricultural_Soil_Surface,biofMP,mp5,25000,730,NAN,NAN,NAN
291,Utopia,Agricultural_Soil_Surface,biofMP,mp4,25000,NAN,NAN,NAN,NAN
292,Utopia,Agricultural_Soil_Surface,biofMP,mp3,25000,NAN,NAN,NAN,NAN
293,Utopia,Agricultural_Soil_Surface,biofMP,mp2,25000,NAN,NAN,NAN,NAN
294,Utopia,Agricultural_Soil_Surface,biofMP,mp1,25000,NAN,NAN,NAN,NAN
295,Utopia,Agricultural_Soil_Surface,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
296,Utopia,Agricultural_Soil_Surface,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
297,Utopia,Agricultural_Soil_Surface,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
298,Utopia,Agricultural_Soil_Surface,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
299,Utopia,Agricultural_Soil_Surface,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
300,Utopia,Agricultural_Soil,freeMP,mp5,5000,3650,NAN,NAN,NAN
301,Utopia,Agricultural_Soil,freeMP,mp4,5000,NAN,NAN,NAN,NAN
302,Utopia,Agricultural_Soil,freeMP,mp3,5000,NAN,NAN,NAN,NAN
303,Utopia,Agricultural_Soil,freeMP,mp2,5000,NAN,NAN,NAN,NAN
304,Utopia,Agricultural_Soil,freeMP,mp1,5000,NAN,NAN,NAN,NAN
305,Utopia,Agricultural_Soil,heterMP,mp5,50000,NAN,NAN,NAN,NAN
306,Utopia,Agricultural_Soil,heterMP,mp4,50000,NAN,NAN,NAN,NAN
307,Utopia,Agricultural_Soil,heterMP,mp3,50000,NAN,NAN,NAN,NAN
308,Utopia,Agricultural_Soil,heterMP,mp2,50000,NAN,NAN,NAN,NAN
309,Utopia,Agricultural_Soil,heterMP,mp1,50000,NAN,NAN,NAN,NAN
310,Utopia,Agricultural_Soil,biofMP,mp5,25000,NAN,NAN,NAN,NAN
311,Utopia,Agricultural_Soil,biofMP,mp4,25000,NAN,NAN,NAN,NAN
312,Utopia,Agricultural_Soil,biofMP,mp3,25000,NAN,NAN,NAN,NAN
313,Utopia,Agricultural_Soil,biofMP,mp2,25000,NAN,NAN,NAN,NAN
314,Utopia,Agricultural_Soil,biofMP,mp1,25000,NAN,NAN,NAN,NAN
315,Utopia,Agricultural_Soil,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
316,Utopia,Agricultural_Soil,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
317,Utopia,Agricultural_Soil,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
318,Utopia,Agricultural_Soil,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
319,Utopia,Agricultural_Soil,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
320,Utopia,Air,freeMP,mp5,5000,365,NAN,NAN,NAN
321,Utopia,Air,freeMP,mp4,5000,NAN,NAN,NAN,NAN
322,Utopia,Air,freeMP,mp3,5000,NAN,NAN,NAN,NAN
323,Utopia,Air,freeMP,mp2,5000,NAN,NAN,NAN,NAN
324,Utopia,Air,freeMP,mp1,5000,NAN,NAN,NAN,NAN
325,Utopia,Air,heterMP,mp5,50000,NAN,NAN,NAN,NAN
326,Utopia,Air,heterMP,mp4,50000,NAN,NAN,NAN,NAN
327,Utopia,Air,heterMP,mp3,50000,NAN,NAN,NAN,NAN
328,Utopia,Air,heterMP,mp2,50000,NAN,NAN,NAN,NAN
329,Utopia,Air,heterMP,mp1,50000,NAN,NAN,NAN,NAN
330,Utopia,Air,biofMP,mp5,25000,730,NAN,NAN,NAN
331,Utopia,Air,biofMP,mp4,25000,NAN,NAN,NAN,NAN
332,Utopia,Air,biofMP,mp3,25000,NAN,NAN,NAN,NAN
333,Utopia,Air,biofMP,mp2,25000,NAN,NAN,NAN,NAN
334,Utopia,Air,biofMP,mp1,25000,NAN,NAN,NAN,NAN
335,Utopia,Air,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
336,Utopia,Air,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
337,Utopia,Air,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
338,Utopia,Air,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
339,Utopia,Air,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
