Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.217077030134274e-07,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",5.956415969765581e-06,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[7.927447995941148e-09, 7.927447995941148e-09, 0.0, 0.0, 0.0]",0.011545699931377497,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[9.512937595129376e-08, 3.170979198376459e-08, 3.170979198376459e-08, 0.0, 0.0]",98.49552681183546,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[1.1098427194317607e-06, 2.3782343987823441e-07, 1.5854895991882297e-07, 7.927447995941148e-08, 0.0]",968820.163933009,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.320746267378784e-16,1.1574074074074074e-06,0.0,8.546511627906976e-09,1.0273682694260915e-06,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-11, 0.0, 0.0, 0.0, 0.0]",0.0,5.934800043699979e-15,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[7.927450638422935e-11, 7.927450638422935e-11, 0.0, 0.0, 0.0]",0.0,1.1545496870588217e-11,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[9.512937598300358e-10, 3.170979199433453e-10, 3.170979199433453e-10, 0.0, 0.0]",0.0,9.849552480328001e-08,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[1.1098427194321308e-08, 2.3782343987831376e-09, 1.5854895991887585e-09, 7.927447995943792e-10, 0.0]",0.0,0.0009688201639129474,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0003643879853989019,0.0,0.0,0.0,8.546511627906976e-09,0.00022261939888511736,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp2,3.2090147248145615e-10,"[2.3782343987823448e-09, 0.0, 0.0, 0.0, 0.0]",0.0013589965180795954,0.0,0.0,0.0,8.546511627906976e-09,0.00043540275501843513,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp3,3.2090147248145615e-10,"[4.756468797564689e-09, 4.756468797564689e-09, 0.0, 0.0, 0.0]",0.1165610336498048,0.0,0.0,0.0,8.546511627906976e-09,0.0025256206472757015,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp4,3.2090147248145615e-10,"[4.8515981735159826e-08, 1.6171993911719945e-08, 1.6171993911719945e-08, 0.0, 0.0]",106.30919417524349,0.0,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp5,3.2090147248145615e-10,"[5.560312024353121e-07, 1.1914954337899544e-07, 7.943302891933031e-08, 3.9716514459665155e-08, 0.0]",1850269.279647996,0.0,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,3.6449618096042567e-13,0.0,0.0,8.546511627906976e-09,0.00022267609252562247,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.3782637593383765e-11, 0.0, 0.0, 0.0, 0.0]",0.0,1.3591450575879609e-12,0.0,0.0,8.546511627906976e-09,0.0004354426749785185,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp3,8.022536812036404e-11,"[4.756469715093217e-11, 4.756469715093217e-11, 0.0, 0.0, 0.0]",0.0,1.165615552991495e-10,0.0,0.0,8.546511627906976e-09,0.002525631484010666,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp4,8.022536812036404e-11,"[4.851598175039907e-10, 1.617199391679969e-10, 1.617199391679969e-10, 0.0, 0.0]",0.0,1.0630919004439468e-07,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp5,8.022536812036404e-11,"[5.5603120243549625e-09, 1.1914954337903492e-09, 7.943302891935663e-10, 3.971651445967831e-10, 0.0]",0.0,0.0018502692796077583,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.217077030134274e-07,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,6.446896763621471e-11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882296e-10, 0.0, 0.0, 0.0, 0.0]",5.956415969765581e-06,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,6.4468967636214734e-09,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp3,1.6045073624072808e-09,"[7.927447995941146e-10, 7.927447995941146e-10, 0.0, 0.0, 0.0]",0.011545699931377497,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,6.446896763621472e-07,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp4,1.6045073624072808e-09,"[9.512937595129376e-09, 3.1709791983764586e-09, 3.1709791983764586e-09, 0.0, 0.0]",98.49552681183546,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,6.446896763621472e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp5,1.6045073624072808e-09,"[1.1098427194317603e-07, 2.3782343987823436e-08, 1.5854895991882293e-08, 7.927447995941146e-09, 0.0]",968820.163933009,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,0.006446896763621472,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.320746267378784e-16,3.858024691358025e-07,0.0,4.273255813953488e-09,1.0273682694260916e-09,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-12, 0.0, 0.0, 0.0, 0.0]",0.0,5.934800043699979e-15,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,6.308907307491492e-09,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp3,1.6045073624072808e-10,"[7.927450638422937e-12, 7.927450638422937e-12, 0.0, 0.0, 0.0]",0.0,1.1545496870588217e-11,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,6.446758727515004e-07,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp4,1.6045073624072808e-10,"[9.51293759830036e-11, 3.170979199433453e-11, 3.170979199433453e-11, 0.0, 0.0]",0.0,9.849552480328001e-08,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,6.44689662558534e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp5,1.6045073624072808e-10,"[1.1098427194321309e-09, 2.3782343987831375e-10, 1.5854895991887587e-10, 7.927447995943793e-11, 0.0]",0.0,0.0009688201639129474,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,0.006446896763483442,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0003643879853989019,0.0,0.0,0.0,4.273255813953488e-09,2.2261939888511738e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp2,3.2090147248145615e-10,"[2.378234398782344e-10, 0.0, 0.0, 0.0, 0.0]",0.0013589965180795954,0.0,0.0,0.0,4.273255813953488e-09,4.354027550184351e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp3,3.2090147248145615e-10,"[4.756468797564688e-10, 4.756468797564688e-10, 0.0, 0.0, 0.0]",0.1165610336498048,0.0,0.0,0.0,4.273255813953488e-09,2.5256206472757017e-06,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp4,3.2090147248145615e-10,"[4.851598173515982e-09, 1.6171993911719939e-09, 1.6171993911719939e-09, 0.0, 0.0]",106.30919417524349,0.0,0.0,0.0,4.273255813953488e-09,0.0,3.290886829168358e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp5,3.2090147248145615e-10,"[5.56031202435312e-08, 1.1914954337899544e-08, 7.94330289193303e-09, 3.971651445966515e-09, 0.0]",1850269.279647996,0.0,0.0,0.0,4.273255813953488e-09,0.0,0.006131107881163131,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,3.6449618096042567e-13,0.0,0.0,4.273255813953488e-09,2.2267609252562247e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.3782637593383765e-12, 0.0, 0.0, 0.0, 0.0]",0.0,1.3591450575879609e-12,0.0,0.0,4.273255813953488e-09,4.3544267497851856e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp3,8.022536812036404e-11,"[4.7564697150932165e-12, 4.7564697150932165e-12, 0.0, 0.0, 0.0]",0.0,1.165615552991495e-10,0.0,0.0,4.273255813953488e-09,2.5256314840106666e-06,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp4,8.022536812036404e-11,"[4.851598175039907e-11, 1.617199391679969e-11, 1.617199391679969e-11, 0.0, 0.0]",0.0,1.0630919004439468e-07,0.0,0.0,4.273255813953488e-09,0.0,3.2908866949119506e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp5,8.022536812036404e-11,"[5.560312024354964e-10, 1.1914954337903494e-10, 7.943302891935664e-11, 3.971651445967832e-11, 0.0]",0.0,0.0018502692796077583,0.0,0.0,4.273255813953488e-09,0.0,0.006131107881025491,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.217077030134274e-07,0.0,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,2.148965587873824e-12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882296e-10, 0.0, 0.0, 0.0, 0.0]",5.956415969765581e-06,0.0,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,2.1489655878738244e-10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp3,1.6045073624072808e-09,"[7.927447995941146e-10, 7.927447995941146e-10, 0.0, 0.0, 0.0]",0.011545699931377497,0.0,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,2.148965587873824e-08,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp4,1.6045073624072808e-09,"[9.512937595129376e-09, 3.1709791983764586e-09, 3.1709791983764586e-09, 0.0, 0.0]",98.49552681183546,0.0,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,2.1489655878738236e-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,freeMP,mp5,1.6045073624072808e-09,"[1.1098427194317603e-07, 2.3782343987823436e-08, 1.5854895991882293e-08, 7.927447995941146e-09, 0.0]",968820.163933009,0.0,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,0.00021489655878738242,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.320746267378784e-16,3.858024691358025e-08,0.0,1.4271844660194176e-10,3.424560898086972e-11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-12, 0.0, 0.0, 0.0, 0.0]",0.0,5.934800043699979e-15,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,2.102969102497164e-10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp3,1.6045073624072808e-10,"[7.927450638422937e-12, 7.927450638422937e-12, 0.0, 0.0, 0.0]",0.0,1.1545496870588217e-11,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,2.1489195758383347e-08,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp4,1.6045073624072808e-10,"[9.51293759830036e-11, 3.170979199433453e-11, 3.170979199433453e-11, 0.0, 0.0]",0.0,9.849552480328001e-08,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,2.14896554186178e-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterMP,mp5,1.6045073624072808e-10,"[1.1098427194321309e-09, 2.3782343987831375e-10, 1.5854895991887587e-10, 7.927447995943793e-11, 0.0]",0.0,0.0009688201639129474,3.858024691358025e-08,0.0,1.4271844660194176e-10,0.0,0.0002148965587827814,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0003643879853989019,0.0,0.0,0.0,1.4271844660194176e-10,7.4206466295039126e-09,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp2,3.2090147248145615e-10,"[2.378234398782344e-10, 0.0, 0.0, 0.0, 0.0]",0.0013589965180795954,0.0,0.0,0.0,1.4271844660194176e-10,1.4513425167281171e-08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp3,3.2090147248145615e-10,"[4.756468797564688e-10, 4.756468797564688e-10, 0.0, 0.0, 0.0]",0.1165610336498048,0.0,0.0,0.0,1.4271844660194176e-10,8.418735490919005e-08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp4,3.2090147248145615e-10,"[4.851598173515982e-09, 1.6171993911719939e-09, 1.6171993911719939e-09, 0.0, 0.0]",106.30919417524349,0.0,0.0,0.0,1.4271844660194176e-10,0.0,1.0969622763894526e-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp5,3.2090147248145615e-10,"[5.56031202435312e-08, 1.1914954337899544e-08, 7.94330289193303e-09, 3.971651445966515e-09, 0.0]",1850269.279647996,0.0,0.0,0.0,1.4271844660194176e-10,0.0,0.00020437026270543772,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,3.6449618096042567e-13,0.0,0.0,1.4271844660194176e-10,7.422536417520749e-09,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.3782637593383765e-12, 0.0, 0.0, 0.0, 0.0]",0.0,1.3591450575879609e-12,0.0,0.0,1.4271844660194176e-10,1.4514755832617285e-08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp3,8.022536812036404e-11,"[4.7564697150932165e-12, 4.7564697150932165e-12, 0.0, 0.0, 0.0]",0.0,1.165615552991495e-10,0.0,0.0,1.4271844660194176e-10,8.418771613368888e-08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp4,8.022536812036404e-11,"[4.851598175039907e-11, 1.617199391679969e-11, 1.617199391679969e-11, 0.0, 0.0]",0.0,1.0630919004439468e-07,0.0,0.0,1.4271844660194176e-10,0.0,1.0969622316373168e-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
