name,depth_m,length_m,width_m,conexions
RS0,5.42,50000,80,"RS1, RS2"
RS1,5.42,50000,80,RS2
RS2,5.42,50000,80,RS3
RS3,5.42,50000,80,RS4
RS4,5.42,50000,80,RS5
RS5,5.42,50000,80,RS6
RS6,5.42,50000,80,RS7
RS7,5.42,50000,80,RS8
RS8,5.42,50000,80,RS9
RS9,5.42,50000,80,RS10
RS10,5.42,50000,80,RS11
RS11,5.42,50000,80,RS12
RS12,5.42,50000,80,RS13
RS13,5.42,50000,80,RS14
RS14,5.42,50000,80,RS15
RS15,5.42,50000,80,RS16
RS16,5.42,50000,80,RS17
RS17,5.42,50000,80,RS18
RS18,5.42,50000,80,RS19
RS19,5.42,50000,80,NAN